Gene	TAP0	TAPHL15	TAPHL120	TP0	TP15	TP120	TPHL15	TPHL120
g1481.t1	7.91212	4.25032	4.49464	5.43785	5.32051	5.33987	1.0552	1.8525
g4589.t1	8.83813	4.7471	5.56487	4.063	9.50643	9.54427	1.641	3.23545
g3833.t1	9.22389	4.95392	10.6543	5.77636	9.84071	10.455	1.52204	6.9723
g7158.t1	6.19674	3.32755	15.8323	15.1913	9.17733	17.6382	9.4522	6.04597
g1330.t1	15.8927	8.53115	6.80763	3.75697	14.5506	14.6999	1.77448	1.51061
g2028.t1	5.85718	3.14387	5.04822	1.476	10.2321	7.67144	2.01423	2.62068
g3561.t1	5.08918	2.73078	4.11449	3.80202	6.34253	6.52522	0.55408	0.440309
g2248.t1	4.15605	2.22969	7.16745	1.30141	4.24014	29.6845	1.67617	0.713119
g10415.t1	10.036	5.38136	11.7746	13.393	9.80932	13.898	31.1367	25.2674
g8483.t1	8.36381	4.48395	5.72394	10.0502	5.9625	10.697	9.85992	0.983139
g7587.t1	6.1308	3.28463	6.1171	4.97265	5.44892	7.62109	0.526622	7.37142
g10572.t1	14.0513	7.52702	10.3614	9.81568	6.93841	10.3598	6.88184	14.4933
g6884.t1	3.04061	1.62863	6.3178	0	3.99571	5.63598	1.46008	1.50094
g257.t1	6.74038	3.60981	5.47626	2.62579	7.3513	3.18714	3.08603	1.52942
g6318.t1	4.48967	2.40444	3.99356	3.35876	4.73518	4.55818	1.2139	1.76858
g10855.t1	18.3839	9.84448	12.7073	3.79973	16.1042	16.3749	2.92625	9.74178
g9859.t1	9.64749	5.16573	9.08035	9.51142	10.1237	9.24446	1.57587	1.38206
g1314.t1	4.85271	2.59814	3.95998	6.75628	5.74935	5.8796	6.39761	4.15373
g9276.t1	17.5745	9.4068	14.1777	3.48524	19.4312	18.6915	3.19648	3.29622
g8725.t1	7.36318	3.93939	6.95573	18.8663	6.98661	10.5717	3.95452	1.5965
g3579.t1	6.17399	3.30299	5.70966	2.0179	5.83164	5.7731	0.643117	0.318177
g9887.t1	12.9351	6.9192	11.6658	1.94686	17.2452	13.9448	0.217785	0.895662
g1851.t1	20.5174	10.9751	29.9549	30.7794	19.9669	25.8206	29.2533	21.2638
g9017.t1	3.75536	2.00812	7.26479	19.8514	5.28398	4.56724	15.8251	1.71437
g9216.t1	14.1759	7.58016	19.3727	21.2633	13.2879	13.8619	11.111	20.3667
g10434.t1	10.6366	5.68552	4.98554	0	6.40329	6.70834	0	4.3843
g1914.t1	7.10962	3.80023	5.72598	8.10227	6.4674	9.60155	2.87906	2.29364
g1744.t1	9.48581	5.06939	6.23385	7.37014	7.58707	9.32542	4.62394	4.87152
g1342.t1	22.3445	11.941	23.5923	50.0198	23.7761	19.3987	37.8353	22.1277
g8268.t1	37.0906	19.8187	27.3788	19.7149	30.5442	25.3922	16.863	30.8736
g4715.t1	7.80098	4.16629	4.85495	0.212484	6.40393	7.34665	0.727936	0.978519
g7370.t1	9.47945	5.06187	9.1881	5.63038	8.79108	10.4302	8.66428	6.41854
g3793.t1	7.25448	3.87365	9.10734	6.01987	10.8094	9.6943	0	1.38685
g9084.t1	7.76715	4.14677	6.22771	8.7753	8.40962	4.27871	3.06012	3.31108
g5630.t1	8.28609	4.42334	6.08686	6.73807	6.68832	6.34068	13.3031	3.02295
g577.t1	49.8652	26.6116	15.5646	43.1381	36.6557	40.2148	20.8754	102.476
g2462.t1	12.5522	6.69845	15.9657	13.3746	11.0681	22.992	12.4243	12.0258
g2531.t1	14.4554	7.71348	9.97396	9.28662	17.3245	11.7465	5.62642	27.8642
g6748.t1	1.48569	0.792753	1.14905	0	1.53316	3.17932	0	0.134322
g8452.t1	9.19149	4.90448	4.89062	1.65146	6.83273	14.9343	1.22596	0.780448
